month,domestic_consumption_mkwh,days_in_month,domestic_consumption_mkwh_per_day,temp_mean_c,temp_max_c,temp_min_c,humidity_mean_pct,apparent_temp_mean_c,city_count,t,month_num,year,covid,log_cons_day
2018-01-01,2455.819449596076,31,79.21998224503471,25.34032258064516,28.06397849462365,23.299462365591395,88.21505376344086,30.066666666666663,6,0,1,2018,0,4.372228568071487
2018-02-01,2530.5418632595533,28,90.3764951164126,26.035714285714285,29.430357142857144,23.09702380952381,80.89880952380952,30.09464285714285,6,1,2,2018,0,4.503984223815532
2018-03-01,2584.769732088216,31,83.37966877703923,26.677419354838708,30.008064516129032,23.891935483870967,83.93010752688173,31.754301075268817,6,2,3,2018,0,4.423404499993804
2018-04-01,2677.8005602724515,30,89.26001867574838,26.956111111111117,30.21555555555556,24.419444444444444,85.26666666666667,32.44833333333333,6,3,4,2018,0,4.4915536684297415
2018-05-01,2742.0607880628045,31,88.45357380847756,26.944086021505377,29.891935483870967,24.506451612903223,87.18279569892474,32.80752688172043,6,4,5,2018,0,4.482477824633832
2018-06-01,2627.7778662366327,30,87.59259554122109,27.141666666666666,30.147222222222226,24.491666666666667,85.96666666666667,32.765,6,5,6,2018,0,4.472696468584693
2018-07-01,2745.1007893062047,31,88.55163836471628,27.05698924731183,30.016129032258064,24.45860215053764,85.46774193548387,32.51075268817204,6,6,7,2018,0,4.483585866200157
2018-08-01,2683.949407595416,31,86.57901314823921,27.11989247311828,30.21451612903225,24.358064516129037,84.36559139784946,32.50806451612903,6,7,8,2018,0,4.46105744379964
2018-09-01,2563.818574812149,30,85.46061916040497,26.384444444444444,29.543333333333333,23.828333333333337,87.03888888888889,31.81611111111111,6,8,9,2018,0,4.448055675221286
2018-10-01,2584.4368687120027,31,83.36893124877427,26.122043010752687,29.246236559139785,23.746774193548383,88.97311827956989,31.6252688172043,6,9,10,2018,0,4.423275712966169
2018-11-01,2538.479838479532,30,84.6159946159844,26.16555555555556,28.99277777777778,23.939444444444447,89.27222222222223,31.68,6,10,11,2018,0,4.4381233103969375
2018-12-01,2680.2550145789623,31,86.45983917996652,26.074193548387097,28.951075268817203,23.86774193548387,88.97311827956989,31.377956989247316,6,11,12,2018,0,4.459680019186478
2019-01-01,2744.42849426422,31,88.52995142787806,26.33494623655914,29.397849462365592,23.71666666666667,83.58602150537635,30.83225806451613,6,12,1,2019,0,4.483340928971255
2019-02-01,2804.3985873559272,28,100.15709240556885,26.73809523809524,30.167261904761908,23.65892857142857,81.5297619047619,31.392261904761902,6,13,2,2019,0,4.606739877433308
2019-03-01,2748.501719388161,31,88.66134578671486,27.43548387096774,31.209139784946235,24.087634408602156,79.83333333333333,32.47204301075269,6,14,3,2019,0,4.484824008388653
2019-04-01,2959.033833849919,30,98.63446112833064,27.58833333333333,30.832222222222224,24.855555555555554,84.2611111111111,33.39555555555555,6,15,4,2019,0,4.5914207048902975
2019-05-01,2831.6010358782382,31,91.341968899298,27.38279569892473,30.538709677419355,24.806451612903224,86.77956989247312,33.38978494623656,6,16,5,2019,0,4.5146103632427055
2019-06-01,2832.3029316349803,30,94.410097721166,27.167777777777776,29.95777777777777,24.882777777777772,87.7,33.035000000000004,6,17,6,2019,0,4.547648034816085
2019-07-01,2842.000524646204,31,91.6774362789098,27.131720430107528,30.166129032258063,24.4489247311828,85.33333333333333,32.66935483870968,6,18,7,2019,0,4.518276288776458
2019-08-01,2844.4226523477973,31,91.75556943057413,27.277419354838717,30.59354838709677,24.46989247311828,83.64516129032258,32.579032258064515,6,19,8,2019,0,4.519128187332963
2019-09-01,2734.6954921824845,30,91.15651640608282,27.00333333333333,30.32777777777778,24.22388888888889,85.21666666666667,32.48277777777778,6,20,9,2019,0,4.51257798958503
2019-10-01,2677.497902388157,31,86.37090007703732,26.2,29.384408602150536,23.837634408602156,88.9247311827957,31.837634408602156,6,21,10,2019,0,4.458650814414661
2019-11-01,2641.7537991303248,30,88.05845997101082,26.20055555555556,29.23777777777778,23.91,88.62777777777778,31.662222222222223,6,22,11,2019,0,4.478000911769175
2019-12-01,2725.021685133589,31,87.90392532688996,25.968279569892477,28.903763440860217,23.573118279569893,84.6774193548387,30.373655913978496,6,23,12,2019,0,4.476244460427723
2020-01-01,2869.3442650943457,31,92.55949242239824,26.627419354838707,29.900537634408604,23.85967741935484,82.3010752688172,31.145698924731185,6,24,1,2020,0,4.527851599102
2020-02-01,2868.095536101893,29,98.89984607247906,26.60689655172414,29.881034482758626,23.777586206896554,81.41954022988506,30.89712643678161,6,25,2,2020,0,4.594107682231895
2020-03-01,2889.7301246358475,31,93.21710079470476,27.433333333333334,30.951612903225808,24.473655913978497,82.20430107526882,32.733333333333334,6,26,3,2020,1,4.534931189781971
2020-04-01,3139.858915051787,30,104.66196383505957,27.419444444444444,30.724444444444444,24.77722222222222,84.6,33.06944444444444,6,27,4,2020,1,4.650735764718523
2020-05-01,3947.557468063146,31,127.34056348590794,27.54301075268817,30.53010752688172,25.10483870967742,87.68817204301075,33.79462365591398,6,28,5,2020,1,4.84686509962941
2020-06-01,3017.847066329419,30,100.59490221098062,26.945555555555558,29.78666666666667,24.585,87.22777777777777,32.623333333333335,6,29,6,2020,1,4.611101582534565
2020-07-01,3004.741730467953,31,96.92715259574042,26.62150537634409,29.521505376344088,24.226344086021506,87.10215053763442,32.133870967741935,6,30,7,2020,1,4.573959692190858
2020-08-01,2989.8426532293133,31,96.44653720094558,27.206451612903223,30.372580645161293,24.551075268817204,85.24193548387096,32.84462365591398,6,31,8,2020,1,4.568988836176854
2020-09-01,2901.563701323576,30,96.7187900441192,26.604444444444447,29.711111111111112,24.17055555555556,86.68888888888888,32.03944444444445,6,32,9,2020,1,4.571807696345319
2020-10-01,2973.93812175348,31,95.93348779849936,26.72795698924731,29.750537634408605,24.342473118279568,86.71505376344086,32.2505376344086,6,33,10,2020,1,4.563655115914154
2020-11-01,2943.4764401285984,30,98.11588133761994,26.01166666666667,28.721666666666664,23.99777777777778,89.61111111111111,31.457222222222224,6,34,11,2020,1,4.586149242741038
2020-12-01,2820.5908108206354,31,90.98680034905276,25.857526881720432,28.69677419354839,23.644086021505377,87.12903225806451,30.716129032258063,6,35,12,2020,1,4.51071444488661
2021-01-01,3038.885370748943,31,98.0285603467401,25.460752688172043,28.287096774193547,23.12956989247312,83.94086021505376,29.387096774193548,6,36,1,2021,1,4.585258868322076
2021-02-01,3095.4843394520376,28,110.55301212328706,26.661309523809525,30.67619047619048,23.133928571428573,75.39880952380952,30.281547619047625,6,37,2,2021,1,4.705495153637717
2021-03-01,3075.7283580609064,31,99.21704380841634,26.913978494623656,30.55,23.92903225806452,81.81720430107526,31.776344086021503,6,38,3,2021,1,4.597309812117578
2021-04-01,3122.4045554463464,30,104.08015184821154,26.87388888888889,30.18388888888889,24.249444444444443,86.65,32.595,6,39,4,2021,1,4.645161293159869
2021-05-01,3432.405679124206,31,110.72276384271632,27.095698924731185,30.13494623655914,24.68709677419355,88.03225806451613,33.11989247311828,6,40,5,2021,1,4.707029454010081
2021-06-01,3298.026373472227,30,109.93421244907424,27.03277777777777,30.1,24.40888888888889,86.38333333333334,32.76555555555556,6,41,6,2021,1,4.699882118233246
2021-07-01,3416.8331024564504,31,110.2204226598855,27.12043010752688,30.150537634408604,24.517204301075267,84.59677419354838,32.55215053763441,6,42,7,2021,1,4.702482203140946
2021-08-01,3272.568826101095,31,105.56673632584176,26.532795698924733,29.58333333333333,24.140860215053763,86.95698924731182,31.975806451612904,6,43,8,2021,1,4.659343324735835
2021-09-01,3240.924767622583,30,108.03082558741944,26.68611111111111,29.712777777777777,24.181666666666665,86.02222222222223,32.14,6,44,9,2021,1,4.682416608504815
2021-10-01,3178.5357087614043,31,102.5334099600453,26.86881720430108,30.223655913978497,24.133333333333333,85.40322580645162,32.34301075268817,6,45,10,2021,1,4.630188696297742
2021-11-01,3007.4476476350774,30,100.24825492116923,25.927777777777777,29.076666666666668,23.656666666666663,88.92777777777778,31.25111111111111,6,46,11,2021,1,4.6076496587650375
2021-12-01,3033.741448118727,31,97.86262735866862,25.87150537634409,28.887096774193548,23.3494623655914,85.55376344086021,30.37311827956989,6,47,12,2021,1,4.583564733637386
2022-01-01,3149.094474,31,101.58369270967742,26.127419354838707,29.747311827956988,23.031720430107526,81.51612903225806,30.37903225806452,6,48,1,2022,0,4.6208830174360935
2022-02-01,3077.808365,28,109.92172732142856,26.02202380952381,29.44107142857143,23.44761904761905,84.91071428571429,30.64464285714286,6,49,2,2022,0,4.699768542701267
2022-03-01,3266.42965443,31,105.36869853,26.6,30.147311827956987,23.819354838709675,85.94623655913979,32.034946236559136,6,50,3,2022,0,4.657465614106856
2022-04-01,3318.30658,30,110.61021933333332,26.73388888888889,30.35222222222222,23.955,86.45555555555555,32.407777777777774,6,51,4,2022,0,4.70601248385527
2022-05-01,3364.641667,31,108.53682796774191,27.537634408602152,31.00698924731183,24.6247311827957,83.84408602150538,33.20913978494623,6,52,5,2022,0,4.687089543661888
2022-06-01,3282.338295,30,109.4112765,26.542222222222225,29.912222222222223,23.832222222222224,86.13333333333334,31.95833333333333,6,53,6,2022,0,4.695113960544301
2022-07-01,3280.306051,31,105.81632422580644,27.24516129032258,30.5252688172043,24.41505376344086,83.38172043010752,32.61720430107527,6,54,7,2022,0,4.661704800771808
2022-08-01,3202.393743,31,103.30302396774194,26.691935483870967,30.102150537634408,23.906989247311827,84.83333333333333,31.975806451612904,6,55,8,2022,0,4.637666649344194
2022-09-01,3118.720182,30,103.9573394,26.453888888888887,29.82333333333333,23.813333333333333,85.36111111111111,31.721666666666664,6,56,9,2022,0,4.643980616910205
2022-10-01,3097.02226,31,99.90394387096777,26.176344086021505,29.33817204301075,23.803763440860216,87.24193548387096,31.423655913978497,6,57,10,2022,0,4.60420916306313
2022-11-01,3039.1426545183267,30,101.30475515061087,25.88722222222222,29.168333333333333,23.55444444444445,88.5,31.113888888888887,6,58,11,2022,0,4.618133351422535
2022-12-01,3038.10442917,31,98.00336868290324,25.3247311827957,28.30698924731183,23.120967741935484,87.1774193548387,29.75698924731183,6,59,12,2022,0,4.585001852395128
2023-01-01,3030.11661,31,97.7456970967742,25.412365591397847,28.593010752688173,22.95215053763441,85.89247311827957,29.74408602150537,6,60,1,2023,0,4.582369178426249
2023-02-01,3046.542903,28,108.80510367857144,25.76309523809524,29.15714285714285,23.120833333333334,84.57738095238095,30.175,6,61,2,2023,0,4.689558242132057
2023-03-01,3364.396075,31,108.52890564516127,26.211290322580645,29.8005376344086,23.211827956989247,82.78494623655914,30.773118279569893,6,62,3,2023,0,4.68701654897542
2023-04-01,3516.4267931,30,117.21422643666666,27.36555555555556,31.171111111111117,24.31388888888889,83.39444444444445,32.95888888888889,6,63,4,2023,0,4.764003255754615
2023-05-01,3710.807649,31,119.7034725483871,27.760752688172044,31.33333333333333,24.918279569892476,84.1774193548387,33.622043010752684,6,64,5,2023,0,4.785017622572433
2023-06-01,3514.2,30,117.14,27.54111111111111,31.184444444444445,24.59722222222222,83.33888888888889,33.10611111111111,6,65,6,2023,0,4.7633698006616365
2023-07-01,3510.970801,31,113.25712261290322,27.163978494623656,30.816129032258065,24.306451612903224,84.39247311827957,32.619354838709675,6,66,7,2023,0,4.72966065521464
2023-08-01,3424.910593,31,110.48098687096774,26.78978494623656,30.560752688172045,23.943548387096776,85.88172043010752,32.254838709677415,6,67,8,2023,0,4.704843441636881
2023-09-01,3492.461578,30,116.41538593333333,26.79,30.47,24.035555555555558,85.9,32.19277777777778,6,68,9,2023,0,4.757164708119972
2023-10-01,3404.775217,31,109.83145861290322,26.48978494623656,30.261827956989247,23.807526881720428,88.34946236559139,32.16505376344086,6,69,10,2023,0,4.698946996353998
2023-11-01,3265.31904,30,108.843968,26.10388888888889,29.502777777777776,23.785555555555558,89.7388888888889,31.60111111111111,6,70,11,2023,0,4.689915370435357
2023-12-01,3339.093809,31,107.71270351612904,25.97043010752688,29.19139784946237,23.820430107526885,89.45161290322581,31.12849462365591,6,71,12,2023,0,4.679467530002458
2024-01-01,3551.437675,31,114.5625056451613,25.966129032258063,29.26290322580645,23.492473118279573,87.53225806451613,30.776344086021503,6,72,1,2024,0,4.741120574875744
2024-02-01,3675.45516,29,126.73983310344828,27.05862068965517,31.091954022988507,23.698850574712647,81.62068965517241,31.7632183908046,6,73,2,2024,0,4.84213642705253
2024-03-01,3907.848776,31,126.05963793548386,27.70215053763441,31.99032258064516,24.29462365591398,80.6774193548387,32.83279569892473,6,74,3,2024,0,4.8367551119206285
2024-04-01,3860.406415,30,128.68021383333334,27.868333333333336,31.77388888888889,24.851666666666667,84.56666666666666,33.82,6,75,4,2024,0,4.8573303641143415
2024-05-01,3820.283525,31,123.23495241935484,27.76129032258065,31.305913978494623,25.141397849462365,86.83870967741936,33.93978494623656,6,76,5,2024,0,4.814092715565406
2024-06-01,3621.850084316152,30,120.72833614387172,27.41611111111111,30.961111111111112,24.585555555555555,83.98333333333333,33.00277777777778,6,77,6,2024,0,4.7935428656198384
