kwh,energy_rm,capacity_rm,network_rm,eei_rebate_rm,kwtbb_rm,afa_rm,retail_rm,sst_rm,estimated_total_rm,effective_rm_per_kwh
100,27.03,4.55,12.85,25.0,0.0,0.0,0.0,0.0,19.43,0.19
200,54.06,9.1,25.7,50.0,0.0,0.0,0.0,0.0,38.86,0.19
300,81.09,13.65,38.55,67.5,0.0,0.0,0.0,0.0,65.79,0.22
400,108.12,18.2,51.4,68.0,1.76,0.0,0.0,0.0,111.48,0.28
500,135.15,22.75,64.25,60.0,2.59,0.0,0.0,0.0,164.74,0.33
600,162.18,27.3,77.1,54.0,3.4,0.0,0.0,0.0,215.98,0.36
650,175.7,29.58,83.52,48.75,3.84,0.0,0.0,0.0,243.89,0.38
700,189.21,31.85,89.95,38.5,4.36,0.0,0.0,0.0,276.87,0.4
750,202.72,34.12,96.38,33.75,4.79,0.0,0.0,0.0,304.27,0.41
800,216.24,36.4,102.8,32.0,5.18,0.0,0.0,0.0,328.62,0.41
